Market Year,Barley Consumption Growth Rate,Barley Production Growth Rate,Barley Imports Growth Rate,Barley Exports Growth Rate,Rice Consumption Growth Rate,Rice Production Growth Rate,Rice Imports Growth Rate,Rice exports Growth Rate,Wheat Consumption Growth Rate,Wheat Production Growth Rate,Wheat imports Growth Rate,Wheat Exports Growth Rate,Hunger Annual Change,Poverty % Under US $5.50 Per Day,Poverty Annual Change,Meat Exports Growth Rate,Meat Imports Growth Rate,Meat Production Growth Rate,Meat Consumption Growth Rate,Population Growth Rate,Economic Annual Change,Inflation Annual Change,Inflation Rate,Exports % of GDP,Imports % of GDP,Unemployment Per Year
1960,-0.0239,0.0124,1.062600774,-0.085385358,0.1021,0.260264436,-0.113640126,-0.1957,0.200475267,0.0639,0.811066509,0.472033142,0.046803264,0.73734289,0.052857948,-1.092783092,0.069909726,-0.470107842,0.541357996,0.0232,0.0031,-0.0084,0.0974,0.0717,0.1663,0.015087528
1961,-0.1007,-0.1367,1.243928266,0.071765355,0.0163,0.0942,-0.040446056,0.2297,-0.1813,-0.0243,0.114,0.496618928,0.088352031,0.813117901,-0.065407207,-0.30167778,0.117276725,-0.855552191,0.450452475,0.0239,0.0599,0.055,0.1058,0.0622,0.2032,0.014076829
1962,-0.064,-0.0333,-1,-0.021686261,-0.0371,-0.0275,0.163296303,0.0462,0.2045,0.0558,0.4322,0.333553151,-0.083525172,0.935224645,0.114785254,1.732789115,0.108283419,1.028273227,0.373265785,0.0246,0.0448,0.0099,0.0508,0.067,0.2007,0.015832581
1963,0.094,0.069,1.24390361,-0.007468543,0.1021,0.0876,-0.036565259,-0.0147,0.0917,0.0355,-0.0745,0.595597155,0.080882928,0.705013739,-0.001337318,-2.05532146,0.025601576,-1.148021317,0.397202862,0.0252,0.0869,0.0032,0.0409,0.0818,0.176,0.014198876
1964,-0.1172,-0.1048,-1,-0.235925091,0.103,0.1334,-0.017354425,0.3731,0.1318,-0.0019,0.1782,0.370745694,0.00797428,0.657796874,-0.006124309,-0.641255386,0.112976318,1.366904512,0.454110892,0.0256,0.0757,0.0124,0.0377,0.0772,0.1616,0.012790155
1965,0.0265,0.0631,1.034784789,-0.174808277,0.0017,-0.0252,-0.056279982,-0.1957,-0.1219,0.1031,-0.3076,0.375385263,0.015456679,0.773957954,-0.03649688,1.247673995,0.031179738,1.707636056,0.394767348,0.026,0.1042,-0.0466,0.0253,0.0706,0.1705,0.013158756
1966,-0.2328,-0.2966,1.080458078,-0.04191192,0.012,0.0364,-0.184789167,0.2297,0.0039,-0.147,0.4231,0.353588352,0.155569318,0.813918999,-0.130151454,1.377764981,0.12769271,-2.2100545,0.442569276,0.0264,0.0579,-0.005,0.0719,0.0691,0.1866,0.015077588
1967,-0.0225,0.0602,1.132994314,-0.142294418,0.164,0.0982,-0.024692441,-0.3297,0.0813,0.1067,0.2115,0.577611314,0.041532346,0.918938011,-0.179822108,3.727918098,-0.127307315,2.918311434,0.50909843,0.0267,0.054,-0.0199,0.0769,0.0692,0.2006,0.01523676
1968,0.2069,0.2273,1.242854016,-0.048990179,0.374,0.3556,0.07131491,0.1475,0.0922,0.4808,-0.6452,0.403458531,0.083140256,0.814824755,0.053093202,0.877116354,0.172440304,-0.539219027,0.609118608,0.027,0.0723,-0.0223,0.0968,0.0753,0.2041,0.013664255
1969,-0.0571,-0.1019,0.9314364,-0.214048967,0.2209,0.1816,-0.269128397,-0.35,0.1099,0.0312,-1,0.235395645,0.034284756,0.600756563,-0.118651657,-1.531532048,0.155292576,3.403601317,0.569369055,0.0271,0.0551,-0.0102,0.1192,0.0692,0.1897,0.014597972
